Name,yt_name,Link,start_min,start_sec,end_min,end_sec
Brown,Brown,https://talkinghands.co.in/sites/default/files/islvideos/Brown.webm,0,0,0,3
Bucket,Bucket,https://talkinghands.co.in/sites/default/files/islvideos/Bucket.webm,0,0,0,2
Buddh Pornima,Buddh Pornima,https://talkinghands.co.in/sites/default/files/islvideos/Buddh_Pornima.webm,0,0,0,3
Budhha,Budhha,https://talkinghands.co.in/sites/default/files/islvideos/Budhha.webm,0,0,0,2
Buffalo,Buffalo,https://talkinghands.co.in/sites/default/files/islvideos/Buffalo.webm,0,0,0,3
Bug,Bug,https://talkinghands.co.in/sites/default/files/islvideos/Bug.webm,0,0,0,2
Building,Building,https://talkinghands.co.in/sites/default/files/islvideos/Building.webm,0,0,0,2
Bulb,Bulb,https://talkinghands.co.in/sites/default/files/islvideos/Bulb.webm,0,0,0,3
bullock cart,bullock cart,https://talkinghands.co.in/sites/default/files/islvideos/bullock_cart.webm,0,0,0,2
bullock_cart1,bullock_cart1,https://talkinghands.co.in/sites/default/files/islvideos/bullock_cart1.webm,0,0,0,2
Bury,Bury,https://talkinghands.co.in/sites/default/files/islvideos/Bury.webm,0,0,0,3
Bus,Bus,https://talkinghands.co.in/sites/default/files/islvideos/Bus.webm,0,0,0,3
Bus Conductor,Bus Conductor,https://talkinghands.co.in/sites/default/files/islvideos/Bus_Conductor.webm,0,0,0,3
Business,Business,https://talkinghands.co.in/sites/default/files/islvideos/Business.webm,0,0,0,2
Butter,Butter,https://talkinghands.co.in/sites/default/files/islvideos/Butter.webm,0,0,0,3
Butterfly,Butterfly,https://talkinghands.co.in/sites/default/files/islvideos/Butterfly.webm,0,0,0,2
buy,buy,https://youtu.be/wyu_qsxDouM,0,0,0,3
Buy,Buy,https://talkinghands.co.in/sites/default/files/islvideos/Buy.webm,0,0,0,2
c,double handed,https://youtu.be/VlqddxqAYQo,0,7,0,8
Cake,Cake,https://talkinghands.co.in/sites/default/files/islvideos/Cake.webm,0,0,0,3
Calculator,Calculator,https://talkinghands.co.in/sites/default/files/islvideos/Calculator.webm,0,0,0,2
Calm,Calm,https://talkinghands.co.in/sites/default/files/islvideos/Calm.webm,0,0,0,3
Cancel,Cancel,https://talkinghands.co.in/sites/default/files/islvideos/Cancel.webm,0,0,0,2
Cancer,Cancer,https://talkinghands.co.in/sites/default/files/islvideos/Cancer.webm,0,0,0,3
Candle,Candle,https://talkinghands.co.in/sites/default/files/islvideos/Candle.webm,0,0,0,2
Capital,Capital,https://talkinghands.co.in/sites/default/files/islvideos/Capital.webm,0,0,0,2
CapsLock,CapsLock,https://talkinghands.co.in/sites/default/files/islvideos/CapsLock.webm,0,0,0,3
car,car,https://youtu.be/Rty4lN6R8LY,0,0,0,2
Car,Car,https://talkinghands.co.in/sites/default/files/islvideos/Car.webm,0,0,0,3
Car-1,Car-1,https://talkinghands.co.in/sites/default/files/islvideos/Car-1.webm,0,0,0,2
Card,Card,https://talkinghands.co.in/sites/default/files/islvideos/Card.webm,0,0,0,2
Carpenter,Carpenter,https://talkinghands.co.in/sites/default/files/islvideos/Carpenter.webm,0,0,0,3
Carrom,Carrom,https://talkinghands.co.in/sites/default/files/islvideos/Carrom.webm,0,0,0,2
Cassette,Cassette,https://talkinghands.co.in/sites/default/files/islvideos/Cassette.webm,0,0,0,3
Cat,Cat,https://talkinghands.co.in/sites/default/files/islvideos/Cat.webm,0,0,0,3
Cave,Cave,https://talkinghands.co.in/sites/default/files/islvideos/Cave.webm,0,0,0,4
CD,CD,https://talkinghands.co.in/sites/default/files/islvideos/CD.webm,0,0,0,3
Cement,Cement,https://talkinghands.co.in/sites/default/files/islvideos/Cement.webm,0,0,0,2
Center,Center,https://talkinghands.co.in/sites/default/files/islvideos/Center.webm,0,0,0,2
Centimeter,Centimeter,https://talkinghands.co.in/sites/default/files/islvideos/Centimeter.webm,0,0,0,2
Certificate,Certificate,https://talkinghands.co.in/sites/default/files/islvideos/Certificate.webm,0,0,0,3
Certificate2,Certificate2,https://talkinghands.co.in/sites/default/files/islvideos/Certificate2.webm,0,0,0,3
chair,chair,https://youtu.be/tShdaK0wAgk,0,0,0,2
Chair,Chair,https://talkinghands.co.in/sites/default/files/islvideos/Chair.webm,0,0,0,3
Chandigarh,Chandigarh,https://talkinghands.co.in/sites/default/files/islvideos/Chandigarh.webm,0,0,0,3
Chapathi,Chapathi,https://talkinghands.co.in/sites/default/files/islvideos/Chapathi.webm,0,0,0,2
Chappal,Chappal,https://talkinghands.co.in/sites/default/files/islvideos/Chappal.webm,0,0,0,3
Chapter,Chapter,https://talkinghands.co.in/sites/default/files/islvideos/Chapter.webm,0,0,0,2
Chart,Chart,https://talkinghands.co.in/sites/default/files/islvideos/Chart.webm,0,0,0,3
Chat,Chat,https://talkinghands.co.in/sites/default/files/islvideos/Chat.webm,0,0,0,3
Cheat,Cheat,https://talkinghands.co.in/sites/default/files/islvideos/Cheat.webm,0,0,0,3
Checking out someone,Checking out someone,https://talkinghands.co.in/sites/default/files/islvideos/Checking_out_someone.webm,0,0,0,3
Chemistry,Chemistry,https://talkinghands.co.in/sites/default/files/islvideos/Chemistry.webm,0,0,0,3
Chennai,Chennai,https://talkinghands.co.in/sites/default/files/islvideos/Chennai.webm,0,0,0,2
Cheque,Cheque,https://talkinghands.co.in/sites/default/files/islvideos/Cheque.webm,0,0,0,3
Cheque-alternate,Cheque-alternate,https://talkinghands.co.in/sites/default/files/islvideos/Cheque-alternate.webm,0,0,0,2
Chess,Chess,https://talkinghands.co.in/sites/default/files/islvideos/Chess.webm,0,0,0,2
Chest,Chest,https://talkinghands.co.in/sites/default/files/islvideos/Chest.webm,0,0,0,3
Chew,Chew,https://talkinghands.co.in/sites/default/files/islvideos/Chew.webm,0,0,0,3
Chicken,Chicken,https://talkinghands.co.in/sites/default/files/islvideos/Chicken.webm,0,0,0,2
Chickoo,Chickoo,https://talkinghands.co.in/sites/default/files/islvideos/Chickoo.webm,0,0,0,3
Chief Minister,Chief Minister,https://talkinghands.co.in/sites/default/files/islvideos/Chief_Minister.webm,0,0,0,3
child,children,https://youtu.be/pWeJhQGITxI,0,0,0,3
children,children,https://youtu.be/pWeJhQGITxI,0,0,0,3
Children,Children,https://talkinghands.co.in/sites/default/files/islvideos/Children.webm,0,0,0,3
China,China,https://talkinghands.co.in/sites/default/files/islvideos/China.webm,0,0,0,2
China-1,China-1,https://talkinghands.co.in/sites/default/files/islvideos/China-1.webm,0,0,0,3
China-alternate,China-alternate,https://talkinghands.co.in/sites/default/files/islvideos/China-alternate.webm,0,0,0,3
Chocolate,Chocolate,https://talkinghands.co.in/sites/default/files/islvideos/Chocolate.webm,0,0,0,2
Choleara,Choleara,https://talkinghands.co.in/sites/default/files/islvideos/Choleara.webm,0,0,0,2
cholera2,cholera2,https://talkinghands.co.in/sites/default/files/islvideos/cholera2.webm,0,0,0,3
Christian,Christian,https://talkinghands.co.in/sites/default/files/islvideos/Christian.webm,0,0,0,2
Christian-alternate,Christian-alternate,https://talkinghands.co.in/sites/default/files/islvideos/Christian-alternate.webm,0,0,0,1
Christmas,Christmas,https://talkinghands.co.in/sites/default/files/islvideos/Christmas.webm,0,0,0,2
Christmas_2,Christmas_2,https://talkinghands.co.in/sites/default/files/islvideos/Christmas_2.webm,0,0,0,3
Chuch,Chuch,https://talkinghands.co.in/sites/default/files/islvideos/Chuch.webm,0,0,0,3
church,church,https://youtu.be/yHgMtQOPid4,0,0,0,3
Cinema,Cinema,https://talkinghands.co.in/sites/default/files/islvideos/Cinema.webm,0,0,0,2
Circus,Circus,https://talkinghands.co.in/sites/default/files/islvideos/Circus.webm,0,0,0,3
class,class room,https://youtu.be/Bh9e-exemes,0,0,0,2
classroom,class room,https://youtu.be/Bh9e-exemes,0,0,0,2
Clear,Clear,https://talkinghands.co.in/sites/default/files/islvideos/Clear.webm,0,0,0,3
Clerk,Clerk,https://talkinghands.co.in/sites/default/files/islvideos/Clerk.webm,0,0,0,3
Clerk2,Clerk2,https://talkinghands.co.in/sites/default/files/islvideos/Clerk2.webm,0,0,0,2
Clever,Clever,https://talkinghands.co.in/sites/default/files/islvideos/Clever.webm,0,0,0,3
Clinic,Clinic,https://talkinghands.co.in/sites/default/files/islvideos/Clinic.webm,0,0,0,3
clock,clock,https://youtu.be/BD6ADUnsyio,0,0,0,2
Clock,Clock,https://talkinghands.co.in/sites/default/files/islvideos/Clock.webm,0,0,0,2
Close,Close,https://talkinghands.co.in/sites/default/files/islvideos/Close.webm,0,0,0,4
cloth ,cloth,https://youtu.be/GM5YzHlNbtQ,0,0,0,3
clothes,cloth,https://youtu.be/GM5YzHlNbtQ,0,0,0,3
Clown,Clown,https://talkinghands.co.in/sites/default/files/islvideos/Clown.webm,0,0,0,3
Coal,Coal,https://talkinghands.co.in/sites/default/files/islvideos/Coal.webm,0,0,0,2
Coat,Coat,https://talkinghands.co.in/sites/default/files/islvideos/Coat.webm,0,0,0,3
Cobbler,Cobbler,https://talkinghands.co.in/sites/default/files/islvideos/Cobbler.webm,0,0,0,3
Cochin,Cochin,https://talkinghands.co.in/sites/default/files/islvideos/Cochin.webm,0,0,0,3
Cockroach,Cockroach,https://talkinghands.co.in/sites/default/files/islvideos/Cockroach.webm,0,0,0,2
Coconut,Coconut,https://talkinghands.co.in/sites/default/files/islvideos/Coconut.webm,0,0,0,2
Coconut2,Coconut2,https://talkinghands.co.in/sites/default/files/islvideos/Coconut2.webm,0,0,0,3
Coffee,Coffee,https://talkinghands.co.in/sites/default/files/islvideos/Coffee.webm,0,0,0,2
Coimbtore,Coimbtore,https://talkinghands.co.in/sites/default/files/islvideos/Coimbtore.webm,0,0,0,2
Coin,Coin,https://talkinghands.co.in/sites/default/files/islvideos/Coin.webm,0,0,0,2
Cold (medical),Cold (medical),https://talkinghands.co.in/sites/default/files/islvideos/Cold.webm,0,0,0,2
cold drink,cold drink,https://talkinghands.co.in/sites/default/files/islvideos/cold_drink.webm,0,0,0,2
Cold Weather,Cold Weather,https://talkinghands.co.in/sites/default/files/islvideos/Cold-Weather.webm,0,0,0,4
College,College,https://talkinghands.co.in/sites/default/files/islvideos/College.webm,0,0,0,3
Comb,Comb,https://talkinghands.co.in/sites/default/files/islvideos/Comb.webm,0,0,0,3
come,come,https://youtu.be/d3i2EjGoA2k,0,0,0,3
Come,Come,https://talkinghands.co.in/sites/default/files/islvideos/Come.webm,0,0,0,3
command,command,https://talkinghands.co.in/sites/default/files/islvideos/command.webm,0,0,0,2
Compass,Compass,https://talkinghands.co.in/sites/default/files/islvideos/Compass.webm,0,0,0,2
complete,Complete,https://youtu.be/1wVR6wsoIfw,0,1,0,3
computer,computer,https://talkinghands.co.in/sites/default/files/islvideos/Computer.webm,0,0,0,2
Cone,Cone,https://talkinghands.co.in/sites/default/files/islvideos/Cone.webm,0,0,0,3
Confident,Confident,https://talkinghands.co.in/sites/default/files/islvideos/Confident.webm,0,0,0,3
Continent,Continent,https://talkinghands.co.in/sites/default/files/islvideos/Continent.webm,0,0,0,3
Cool,Cool,https://talkinghands.co.in/sites/default/files/islvideos/Cool.webm,0,0,0,2
Coolie1,Coolie1,https://talkinghands.co.in/sites/default/files/islvideos/Coolie1.webm,0,0,0,2
Coolie2,Coolie2,https://talkinghands.co.in/sites/default/files/islvideos/Coolie2.webm,0,0,0,2
Copper,Copper,https://talkinghands.co.in/sites/default/files/islvideos/Copper.webm,0,0,0,2
Copy,Copy,https://talkinghands.co.in/sites/default/files/islvideos/Copy.webm,0,0,0,2
Copy2,Copy2,https://talkinghands.co.in/sites/default/files/islvideos/Copy2.webm,0,0,0,2
Corn,Corn,https://talkinghands.co.in/sites/default/files/islvideos/Corn.webm,0,0,0,2
Corruption,Corruption,https://talkinghands.co.in/sites/default/files/islvideos/Corruption.webm,0,0,0,3
Cot,Cot,https://talkinghands.co.in/sites/default/files/islvideos/Cot.webm,0,0,0,3
Cough,Cough,https://talkinghands.co.in/sites/default/files/islvideos/Cough.webm,0,0,0,2
Count,Count,https://talkinghands.co.in/sites/default/files/islvideos/Count.webm,0,0,0,2
Country,Country,https://talkinghands.co.in/sites/default/files/islvideos/Country.webm,0,0,0,3
Courier,Courier,https://talkinghands.co.in/sites/default/files/islvideos/Courier.webm,0,0,0,2
